TIÊU CHÍ,HS QUÝ 1,HS QUÝ 2,HS QUÝ 3,HS QUÝ 4
TC1: Chất lượng công việc,3,,,
TC2: Tín nhiệm của đồng nghiệp,1,,,
TC3: Tinh thần hỗ trợ đội nhóm khác,1,,,
"TC4: Công tác chuẩn hóa, số hóa",1,,,
TC5: Chấp hành quy định công ty,1,,,
TC6: Hỗ trợ công tác truyền thông của INNO và 360HOME,1,,,
TC7: Khai báo Timesheet,1,,,
TC8: Phối hợp với thầu phụ thực hiện các dự án,3,,,
"TC9: Tham gia vào công tác đào tạo của công ty: Làm nội dung, giảng dạy, học tập",1,,,
TC10: Phát triển nhóm,2,,,
TC11: Sản lượng công việc,3,,,
TC12: Tín nhiệm của khách hàng,3,,,